kernel,backend,family,kind,level,width,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for
layernorm_fwd_recompute_triton,triton,layernorm_linear,elem,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,_xnormed_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_fwd_recompute_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_fwd_recompute_triton,1.2e-2,sm80,
layernorm_fwd_saveact_strided_triton,triton,layernorm_linear,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,_ln_mat_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_fwd_saveact_strided_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_fwd_saveact_strided_triton,1.2e-2,sm80,
layernorm_linear_bwd_fp32_triton,triton,layernorm_linear,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,_layer_norm_linear_bwd,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_linear_bwd_fp32_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_linear_bwd_fp32_triton,1.2e-2,sm80,
layernorm_linear_fwd_fp32_triton,triton,layernorm_linear,gemm,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,_layer_norm_linear_fwd,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_linear_fwd_fp32_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_linear_fwd_fp32_triton,8.7e-3,sm80,
layernorm_linear_fwd_triton,triton,layernorm_linear,gemm,both,both,yes,bf16,miniworld_engine/kernels/layernorm_linear/triton/fused.py,_lnl_fwd_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_linear_fwd_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_linear_fwd_triton,1.7e-2,sm80,
layernorm_stats_triton,triton,layernorm_linear,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/stats.py,_stats_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_stats_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_stats_triton,6.2e-7,sm80,
trimul_gemm_gate_sm100_cute,cute,tm1,gemm,token,,,bf16,miniworld_engine/kernels/tm1/cute/sm100_gate_gemm_collective.py,GatedPersistentGemmKernel.kernel,miniworld_engine.kernels.drivers.tm1:gated_persistent_gemm_kernel,,,sm100,
trimul_gemm_sm100_cute,cute,tm1,gemm,token,,,bf16,miniworld_engine/kernels/tm1/cute/_blackwell_dense_gemm.py,PersistentDenseGemmKernel.kernel,miniworld_engine.kernels.drivers.tm1:persistent_dense_gemm_kernel,,,sm100,
gated_projection_gate_inplace_flat_triton,triton,tm1,elem,token,pair,yes,bf16,miniworld_engine/kernels/tm1/cute/launch.py,_gate_mul_kernel,miniworld_engine.kernels.drivers.tm1:gated_projection_gate_inplace_flat_triton,miniworld_engine.kernels.checks.tm1:gated_projection_gate_inplace_flat_triton,1.5e-2,sm80,
gated_projection_gate_packed_flat_triton,triton,tm1,elem,token,pair,yes,bf16,miniworld_engine/kernels/tm1/cute/launch.py,_glu_wide_kernel,miniworld_engine.kernels.drivers.tm1:gated_projection_gate_packed_flat_triton,miniworld_engine.kernels.checks.tm1:gated_projection_gate_packed_flat_triton,8.6e-3,sm80,
